3,HK,&,CHINA,GAS,579000,3965330
4,WHARF,HOLDINGS,3000,53980
5,HSBC,HOLDINGS,656400,35837120
6,POWER,ASSETS,137500,5952275
8,PCCW,73000,296280
10,HANG,LUNG,GROUP,2000,28120
11,HANG,SENG,BANK,16000,1798240
12,HENDERSON,LAND,249000,6792300
13,HUTCHMED,308000,8058750
14,HYSAN,DEV,24000,564800
16,SHK,PPT,335000,36759200
17,NEW,WORLD,DEV,251000,5346600
19,SWIRE,PACIFIC,A,27500,1594800
20,SENSETIME-W,29616000,91161600
23,BANK,OF,E,ASIA,54000,537386
27,GALAXY,ENT,1224000,65319850
38,FIRST,TRACTOR,72000,282540
45,HK&S,HOTELS,1000,7840
66,MTR,CORPORATION,212000,8207825
69,SHANGRI-LA,ASIA,464000,3678320
81,CH,OVS,G,OCEANS,1079000,4350850
83,SINO,LAND,120000,1305920
86,SUN,HUNG,KAI,CO,10000,30500
87,SWIRE,PACIFIC,B,40000,378675
101,HANG,LUNG,PPT,197000,2951580
107,SICHUAN,EXPRESS,16000,30320
116,CHOW,SANG,SANG,4000,44700
119,POLY,PROPERTY,530000,1049530
123,YUEXIU,PROPERTY,516000,6684980
135,KUNLUN,ENERGY,68000,420860
136,CHINA,RUYI,1284000,2510840
144,CHINA,MER,PORT,444000,5080280
148,KINGBOARD,HLDG,46500,1086350
151,WANT,WANT,CHINA,177000,883030
152,SHENZHEN,INT'L,126000,863855
165,CHINA,EB,LTD,40000,222820
168,TSINGTAO,BREW,26000,2167000
173,K.,WAH,INT'L,5000,14100
175,GEELY,AUTO,1794000,17176750
177,JIANGSU,EXPRESS,390000,3060860
179,JOHNSON,ELEC,H,18000,163590
182,CONCORD,NE,110000,77000
189,DONGYUE,GROUP,175000,1419400
200,MELCO,INT'L,DEV,270000,2435500
215,HUTCHTEL,HK,36000,47880
220,U-PRESID,CHINA,160000,1232080
241,ALI,HEALTH,2082000,11957020
257,EB,ENVIRONMENT,807000,2639970
267,CITIC,499000,4658470
268,KINGDEE,INT'L,309000,3956940
270,GUANGDONG,INV,126000,996580
272,SHUI,ON,LAND,121000,116945
285,BYD,ELECTRONIC,241000,5582050
286,AIDIGONG,94000,52640
288,WH,GROUP,742000,3488490
291,CHINA,RES,BEER,444000,27303800
293,CATHAY,PAC,AIR,213000,1651340
297,SINOFERT,28000,27160
302,CMGE,330000,845240
303,VTECH,HOLDINGS,11900,551165
308,CHINA,TRAVEL,HK,24000,41860
315,SMARTONE,TELE,8000,40560
316,OOIL,32000,4916550
317,COMEC,20000,199840
322,TINGYI,472000,6049360
323,MAANSHAN,IRON,146000,256460
327,PAX,GLOBAL,23000,149670
330,ESPRIT,HOLDINGS,50000,34000
336,HUABAO,INTL,57000,210100
338,SHANGHAI,PECHEM,208000,287040
341,CAFE,DE,CORAL,H,26000,297560
345,VITASOY,INT'L,32000,478200
347,ANGANG,STEEL,474000,1194960
354,CHINASOFT,INT'L,1544000,7923540
357,MEILAN,AIRPORT,51000,966500
358,JIANGXI,COPPER,38000,537280
363,SHANGHAI,IND,H,3000,32900
371,BJ,ENT,WATER,168000,328720
384,CHINA,GAS,HOLD,163000,1694928
386,SINOPEC,CORP,9688000,47506400
388,HKEX,54800,18649000
390,CHINA,RAILWAY,846000,4504550
392,BEIJING,ENT,102500,3002150
405,YUEXIU,REIT,165000,328870
410,SOHO,CHINA,22000,28600
425,MINTH,GROUP,128000,2907300
435,SUNLIGHT,REIT,12000,38540
460,SIHUAN,PHARM,1671000,1432060
467,UNITEDENERGY,GP,1708000,1792100
489,DONGFENG,GROUP,42000,152780
506,CHINA,FOODS,2000,5700
512,GRAND,PHARMA,122500,585470
520,XIABUXIABU,396500,2534615
522,ASMPT,14000,1037350
525,GUANGSHEN,RAIL,6000,8980
546,FUFENG,GROUP,207000,903320
548,SHENZHENEXPRESS,44000,318700
551,YUE,YUEN,IND,3000,33540
552,CHINACOMSERVICE,78000,312740
558,LK,TECH,367500,3181775
564,ZMJ,6600,53276
570,TRAD,CHI,MED,320000,1376380
576,ZHEJIANGEXPRESS,1100000,7339480
579,JNCEC,310000,582420
581,CHINA,ORIENTAL,78000,100620
586,CONCH,VENTURE,274000,3645160
587,CONCH,ENVIRO,496000,1253710
590,LUK,FOOK,HOLD,8000,208950
598,SINOTRANS,45000,114990
604,SHENZHEN,INVEST,4000,5940
631,SANY,INT'L,151000,1190150
636,KERRY,LOG,NET,6000,71840
650,PRODUCTIVE,TECH,26000,22360
656,FOSUN,INTL,440000,2482835
658,C,TRANSMISSION,139000,388450
659,NWS,HOLDINGS,4000,27650
665,HAITONG,INT'L,4000,2760
667,CHINA,EAST,EDU,394000,1644250
669,TECHTRONIC,IND,384000,31583025
670,CHINA,EAST,AIR,16000,50000
683,KERRY,PPT,24000,472610
686,BJ,ENERGY,INTL,58000,10962
688,CHINA,OVERSEAS,1611000,33876250
694,BEIJING,AIRPORT,40000,230520
696,TRAVELSKY,TECH,115000,1737360
697,SHOUCHENG,180000,391940
700,TENCENT,2693300,957336060
710,BOE,VARITRONIX,178000,2432980
728,CHINA,TELECOM,868000,3786260
732,TRULY,INT'L,44000,46200
743,ASIA,CEMENT,CH,104000,372210
751,SKYWORTH,GROUP,10000,39680
753,AIR,CHINA,556000,3931080
754,HOPSON,DEV,HOLD,31200,232744
762,CHINA,UNICOM,772000,4823320
763,ZTE,706000,17154470
772,CHINA,LIT,393000,16816560
777,NETDRAGON,8000,111980
778,FORTUNE,REIT,9000,60050
780,TONGCHENGTRAVEL,130000,2234664
788,CHINA,TOWER,1038000,996480
799,IGG,515000,2299290
806,VALUE,PARTNERS,24000,62990
808,PROSPERITY,REIT,3000,6060
817,CHINA,JINMAO,9102000,14882600
818,HI,SUN,TECH,51000,37740
819,TIANNENG,POWER,2000,18360
823,LINK,REIT,39200,2004685
826,TIANGONG,INT'L,36000,87120
836,CHINA,RES,POWER,80000,1363840
839,CHINA,EDU,GROUP,44000,311270
853,MICROPORT,453600,8872374
855,CHINA,WATER,64000,425680
856,VSTECS,22000,94340
857,PETROCHINA,19776000,100289360
860,APOLLO,FMG,28000,3612
861,DC,HOLDINGS,62000,217960
867,CMS,38000,505080
868,XINYI,GLASS,654000,9180020
873,SHIMAO,SERVICES,491000,1011990
874,BAIYUNSHAN,PH,20000,513000
880,SJM,HOLDINGS,1327000,5269330
881,ZHONGSHENG,HLDG,393500,14141025
883,CNOOC,6665000,84084560
902,HUANENG,POWER,3574000,15491620
906,COFCO,PACKAGING,1000,4400
909,MING,YUAN,CLOUD,570000,2591320
914,CONCH,CEMENT,108500,2890425
916,CHINA,LONGYUAN,102000,876850
921,HISENSE,HA,52000,715780
939,CCB,12241000,63871820
941,CHINA,MOBILE,939000,61687975
956,CHINA,SUNTIEN,31000,105090
960,LONGFOR,GROUP,408000,9683575
966,CHINA,TAIPING,18600,155196
968,XINYI,SOLAR,2486000,21754000
973,L'OCCITANE,46250,877765
981,SMIC,1125000,25872150
990,THEME,INT'L,130000,117100
991,DATANG,POWER,2932000,4307480
992,LENOVO,GROUP,968000,8089340
995,ANHUIEXPRESSWAY,42000,326060
998,CITIC,BANK,1444000,5875270
1024,KUAISHOU-W,352300,18685480
1030,SEAZEN,962000,2036040
1033,SINOPEC,SSC,14000,9160
1038,CKI,HOLDINGS,32500,1421925
1044,HENGAN,INT'L,37000,1346775
1052,YUEXIUTRANSPORT,4000,17640
1055,CHINA,SOUTH,AIR,328000,1851000
1060,ALI,PICTURES,300000,159000
1066,WEIGAO,GROUP,414400,5652504
1070,TCL,ELECTRONICS,71000,239010
1071,HUADIAN,POWER,1748000,5953400
1072,DONGFANG,ELEC,266800,3126072
1083,TG,SMART,ENERGY,139000,487190
1088,CHINA,SHENHUA,482000,11825200
1093,CSPC,PHARMA,1298000,10338400
1099,SINOPHARM,238400,5953740
1109,CHINA,RES,LAND,786000,30139100
1112,H&H,INTL,HLDG,130000,1775570
1113,CK,ASSET,34500,1651675
1117,CH,MODERN,D,286000,286000
1119,IDREAMSKY,27600,108988
1121,GOLDENSOLAR,26000,184820
1128,WYNN,MACAU,2071600,16566156
1133,HARBIN,ELECTRIC,14000,51740
1137,HK,TECH,VENTURE,450000,2014940
1138,COSCO,SHIP,ENGY,876000,7186680
1157,ZOOMLION,37000,155332
1164,CGN,MINING,245000,205800
1171,YANKUANG,ENERGY,866000,22265400
1177,SINO,BIOPHARM,6644000,30187360
1179,HWORLD-S,63600,2382410
1183,MECOM,POWER,10000,15200
1186,CHINA,RAIL,CONS,15500,93605
1193,CHINA,RES,GAS,22500,591880
1196,REALORD,GROUP,42000,245720
1199,COSCO,SHIP,PORT,392000,1959920
1208,MMG,900000,2222600
1209,CHINA,RES,MIXC,62400,2666630
1211,BYD,COMPANY,401000,87643000
1233,TIMES,CHINA,87000,65830
1238,POWERLONG,827000,1105070
1250,SDHS,NEW,ENERGY,1100000,74800
1258,CHINFMINING,311000,1231190
1268,MEIDONG,AUTO,478000,7043720
1288,ABC,4847000,14512000
1299,AIA,752400,63682900
1302,LIFETECH,SCI,198000,624980
1308,SITC,228000,3862920
1310,HKBN,127000,726950
1313,CHINARES,CEMENT,686000,2585520
1316,NEXTEER,60000,289730
1336,NCI,31000,603348
1339,PICC,GROUP,593000,1589280
1347,HUA,HONG,SEMI,148000,5383750
1357,MEITU,1090000,2416530
1359,CHINA,CINDA,2665000,2587310
1361,361,DEGREES,191000,774590
1368,XTEP,INT'L,1739000,17048745
1375,CC,SECURITIES,65000,76130
1378,CHINAHONGQIAO,393500,3053210
1382,PACIFICTEXTILES,28000,70320
1385,SHANGHAI,FUDAN,678000,19073750
1398,ICBC,23082000,97174560
1415,COWELL,96000,1853920
1448,FU,SHOU,YUAN,93000,569180
1458,ZHOU,HEI,YA,832000,3174265
1468,KINGKEY,FIN,INT,380000,658000
1475,NISSIN,FOODS,24000,165100
1477,OCUMENSION-B,39500,386930
1503,CMC,REIT,13000,26780
1513,LIVZON,PHARMA,86400,2549780
1515,CR,MEDICAL,290500,2116990
1516,SUNAC,SERVICES,3318000,12166510
1521,FRONTAGE,20000,50340
1528,RS,MACALLINE,20800,75212
1530,3SBIO,68500,554040
1548,GENSCRIPT,BIO,1836000,35431800
1558,HEC,PHARM,20800,163994
1563,ALLI,INTL,ED,LE,73000,424870
1579,YIHAI,INTL,794000,17742050
1585,YADEA,44000,850680
1600,TIAN,LUN,GAS,267500,1149065
1610,COFCO,JOYCOME,2525000,5171230
1618,MCC,53000,114500
1658,PSBC,981000,4775790
1666,TONG,REN,TANG,20000,146790
1668,CHINASOUTHCITY,14000,7420
1672,ASCLETIS-B,50000,131370
1675,ASIAINFO,TECH,5200,79464
1686,SUNEVISION,3000,13510
1691,JS,GLOBAL,LIFE,114000,856375
1696,SISRAM,MED,13600,198816
1698,TME-SW,100,2915
1717,AUSNUTRIA,9000,33660
1733,E-COMMODITIES,256000,366100
1755,S-ENJOY,SERVICE,119000,720240
1760,INTRON,TECH,105000,585430
1765,HOPE,EDU,2260000,1333400
1766,CRRC,784000,3800200
1772,GANFENGLITHIUM,441400,21240270
1773,TIANLI,INT,HLDG,100000,228070
1776,GF,SEC,167800,1947576
1787,SD,GOLD,65000,1134715
1788,GUOTAI,JUNAN,I,700000,496250
1789,AK,MEDICAL,104000,1048860
1797,EAST,BUY,332500,9587475
1798,DATANG,RENEW,481000,1363590
1799,XINTE,ENERGY,597600,11883200
1800,CHINA,COMM,CONS,641000,3226540
1801,INNOVENT,BIO,778500,32214550
1810,XIAOMI-W,2817000,33643220
1811,CGN,NEW,ENERGY,120000,299000
1812,CHENMING,PAPER,32500,79305
1813,KWG,GROUP,490500,572410
1816,CGN,POWER,8268000,16152710
1818,ZHAOJIN,MINING,2499500,34596660
1821,ESR,57800,780316
1833,PA,GOODDOCTOR,385100,7547882
1860,MOBVISTA,37000,153100
1866,CHINA,XLX,FERT,20000,78210
1873,VIVA,BIOTECH,101000,166300
1876,BUD,APAC,492100,11739065
1877,JUNSHI,BIO,111800,3514280
1880,CTG,DUTY-FREE,141100,25899790
1882,HAITIAN,INT'L,119000,2455250
1883,CITIC,TELECOM,125000,408770
1888,KB,LAMINATES,272500,2239165
1896,MAOYAN,ENT,89600,776636
1898,CHINA,COAL,584000,3465500
1907,CHINA,RISUN,GP,122000,438590
1908,C&D,INTL,GROUP,156000,4230150
1910,SAMSONITE,180000,4482810
1913,PRADA,5200,280030
1918,SUNAC,21177000,48583840
1919,COSCO,SHIP,HOLD,5120500,45800275
1928,SANDS,CHINA,LTD,437600,12128720
1929,CHOW,TAI,FOOK,468200,7223928
1951,JXR,559000,3136450
1952,EVEREST,MED-B,365500,5871790
1958,BAIC,MOTOR,8000,17375
1963,BCQ,3500,15085
1966,CHINA,SCE,GROUP,231000,166320
1972,SWIREPROPERTIES,147400,3023710
1988,MINSHENG,BANK,111500,303280
1992,FOSUN,TOURISM,266800,2405630
1997,WHARF,REIC,205000,9263600
1999,MAN,WAH,HLDGS,109600,735672
2001,NEW,HIGHER,EDU,72000,178790
2002,SUNSHINE,PAPER,12000,32200
2005,SSY,GROUP,250000,1254980
2007,COUNTRY,GARDEN,28271000,65125810
2009,BBMG,205000,211220
2013,WEIMOB,INC,934000,3918390
2015,LI,AUTO-W,808200,76087065
2018,AAC,TECH,1918000,29793540
2020,ANTA,SPORTS,952200,103255140
2038,FIH,17000,14110
2039,CIMC,4700,24744
2057,ZTO,EXPRESS-SW,7100,1598340
2096,SIMCERE,PHARMA,295000,2788160
2099,CHINAGOLDINTL,252400,10415890
2121,AINNOVATION,58000,1264645
2126,JW,THERAP-B,1000,3765
2128,CHINA,LESSO,138000,943300
2137,BRII-B,481000,2162230
2138,EC,HEALTHCARE,338000,2013530
2150,NAYUKI,427000,3319400
2155,MORIMATSU,INTL,21000,190640
2158,YIDU,TECH,950400,7311293
2160,CARDIOFLOW-B,472000,1161150
2162,KEYMED,BIO-B,61000,4225775
2163,BROAD,HOMES,3600,15615
2171,CARSGEN-B,134500,1929730
2172,MICROPORT,NEURO,1000,15180
2179,RECBIO-B,4500,71690
2186,LUYE,PHARMA,474500,1868145
2190,ZYLOXTB-B,1000,12120
2191,SF,REIT,9000,26320
2192,MEDLIVE,210000,2111140
2196,FOSUN,PHARMA,29500,695975
2197,CLOVER,BIO-B,30000,55180
2202,CHINA,VANKE,715700,9061192
2208,GOLDWIND,109600,736080
2232,CRYSTAL,INTL,500,1395
2233,WESTCHINACEMENT,146000,153300
2238,GAC,GROUP,946000,4562520
2252,MEDBOT-B,38000,1040325
2255,HAICHANG,HLDG,3554000,5707550
2257,SIRNAOMICS-B,1550,93697
2269,WUXI,BIO,1527000,76422625
2273,GUSHENGTANG,14400,824970
2282,MGM,CHINA,260800,2563800
2285,CHERVON,14100,549555
2313,SHENZHOU,INTL,350100,28064425
2314,LEE,&,MAN,PAPER,625000,2053530
2315,BIOCYTOGEN-B,1000,24950
2318,PING,AN,1624500,82184875
2319,MENGNIU,DAIRY,900000,29478250
2328,PICC,P&C,2868000,24708420
2331,LI,NING,1096500,63041875
2333,GREATWALL,MOTOR,5275500,46435795
2338,WEICHAI,POWER,595000,7120700
2342,COMBA,24000,38520
2343,PACIFIC,BASIN,3488000,11279890
2356,DAHSING,BANKING,32000,204336
2357,AVICHINA,1301000,5295150
2359,WUXI,APPTEC,149400,13010450
2362,JINCHUAN,INTL,512000,291840
2378,PRU,4000,446265
2380,CHINA,POWER,680000,2113300
2382,SUNNY,OPTICAL,103400,9845305
2386,SINOPEC,SEG,64500,260315
2388,BOC,HONG,KONG,134000,3302200
2390,ZHIHU-W,3200,59332
2400,XD,INC,57000,1531250
2423,BEKE-W,47100,2132085
2500,VENUS,MEDTECH-B,244500,2905200
2518,AUTOHOME-S,600,34725
2588,BOC,AVIATION,54000,3375115
2600,CHALCO,2700000,11700900
2601,CPIC,1147400,26067970
2602,ONEWO,38200,1411775
2607,SH,PHARMA,500,7544
2611,GTJA,20600,201612
2616,CSTONE,PHARMA-B,95000,370180
2618,JD,LOGISTICS,308700,3928324
2628,CHINA,LIFE,702000,9119700
2638,HKELECTRIC-SS,19000,94760
2666,UNI,MEDICAL,42500,208700
2669,CHINA,OVS,PPT,50000,472400
2678,TEXHONG,INTL,GP,101500,590750
2688,ENN,ENERGY,33300,3404300
2689,ND,PAPER,385000,2334630
2727,SH,ELECTRIC,18000,36940
2777,R&F,PROPERTIES,112400,193732
2778,CHAMPION,REIT,133000,452580
2800,TRACKER,FUND,58669500,1193118340
2801,ISHARES,CHINA,600,12420
2806,GX,CN,CONSUME,3900,201452
2807,GX,CN,ROBO&AI,100,5674
2809,GX,CN,CLN,EN,500,55757
2812,SAMSUNGCDGN,1000,10320
2820,GX,CN,BIOTECH,650,44383
2822,CSOP,A50,ETF,60400,818876
2823,ISHARES,A50,120200,1707737
2826,GX,CN,CLOUD,1000,63940
2828,HSCEI,ETF,3657200,251028816
2840,SPDR,GOLD,TRUST,1135,1670695
2845,GX,CN,EV,BATT,29000,3088435
2866,COSCO,SHIP,DEV,5000,5100
2869,GREENTOWN,SER,448000,2304600
2877,SHINEWAY,PHARM,2000,17360
2883,CHINA,OILFIELD,320000,2735800
2888,STANCHART,28650,1723157
2899,ZIJIN,MINING,1124000,15787800
3032,HSTECH,ETF,142400,577608
3033,CSOP,HS,TECH,11275000,45322072
3037,CSOP,HSI,ETF,11000,223680
3060,F,CICC,CARBON,500,40700
3067,ISHARESHSTECH,892500,7620821
3068,FA,CSOP,ETH,200,2360
3069,CAM,HSBIOTECH,72500,963984
3070,PING,AN,HKDIV,2900,76056
3073,SPDR,GREATCHINA,38000,1571092
3088,CAM,HS,TECH,1070800,5555598
3111,EFUNDMSCIA50,101700,237774
3115,ISHARESHSI,9700,702254
3134,CSOP,CSI,PV,11800,94950
3135,FA,SAMSUNG,BTC,4950,64300
3136,HSI,ESG,ETF,20000,247800
3151,PREMIA,STAR50,8000,65120
3160,CAM,JAPAN,HDG,1000,14246
3188,CAM,CSI300,40400,1920280
3191,GX,CN,SEMICON,22300,1091957
3309,C-MER,EYE,44000,205560
3311,CHINA,STATE,CON,94000,859080
3316,BINJIANG,SER,2000,54050
3319,A-LIVING,157250,1081920
3320,CHINARES,PHARMA,714000,4721455
3323,CNBM,904000,5801420
3328,BANKCOMM,394000,1986660
3331,VINDA,INT'L,75000,1537650
3347,TIGERMED,19900,1543370
3360,FE,HORIZON,21000,145650
3377,SINO-OCEAN,GP,263500,226895
3380,LOGAN,GROUP,445000,463900
3383,AGILE,GROUP,854000,1518080
3396,LEGENDHOLDING,12700,109309
3403,CAM,HSI,ESG,11200,541632
3606,FUYAO,GLASS,19600,634040
3613,TONGRENTANGCM,5000,72240
3618,CQRC,BANK,23000,66240
3633,ZHONGYU,ENERGY,62000,332310
3668,YANCOAL,AUS,2000,62300
3669,YONGDA,AUTO,24500,126265
3690,MEITUAN-W,386400,49305200
3692,HANSOH,PHARMA,394000,6141560
3709,EEKA,FASHION,16000,170210
3738,VOBILE,GROUP,513000,1678480
3759,PHARMARON,66000,2425990
3799,DALI,FOODS,327000,1079230
3800,GCL,TECH,2764000,5312590
3808,SINOTRUK,9000,100160
3868,XINYI,ENERGY,364000,873340
3877,CSSC,SHIPPING,66000,85140
3888,KINGSOFT,691000,24803750
3898,TIMES,ELECTRIC,33600,1141025
3899,CIMC,ENRIC,78000,567300
3900,GREENTOWN,CHINA,331000,3529690
3908,CICC,568000,9142864
3913,KWG,LIVING,399000,461750
3918,NAGACORP,28000,169660
3931,CALB,43600,857862
3933,UNITED,LAB,20000,113760
3958,DFZQ,7600,35264
3968,CM,BANK,536500,20802700
3969,CHINA,CRSC,51000,151740
3983,CHINA,BLUECHEM,10000,20000
3988,BANK,OF,CHINA,19169000,59148400
3990,MIDEA,REAL,EST,47400,463360
3993,CMOC,1386000,6857700
3996,CH,ENERGY,ENG,284000,305320
3998,BOSIDENG,872000,3644480
6030,CITIC,SEC,425500,7306760
6049,POLY,PPT,SER,24800,1214230
6055,CTIHK,28000,278000
6060,ZA,ONLINE,87000,2189275
6066,CSC,217500,1746240
6069,SY,HOLDINGS,11000,67175
6078,HYGEIA,HEALTH,15000,895700
6088,FIT,HON,TENG,161000,304380
6098,CG,SERVICES,6124000,86290800
6099,CMSC,2200,16990
6100,TONGDAO,LIEPIN,56400,610656
6110,TOPSPORTS,144000,1035230
6127,JOINN,208800,6958670
6160,BEIGENE,197000,31461350
6169,YUHUA,EDU,300000,388900
6178,EB,SECURITIES,4400,24340
6185,CANSINOBIO,27400,1176330
6186,CHINA,FEIHE,294000,1676960
6600,SCICLONE,PHARMA,177000,1997540
6606,NH,HEALTH,123500,3661150
6608,BAIRONG-W,28000,327780
6616,GLOBAL,NEW,MAT,14000,61410
6618,JD,HEALTH,550400,30862347
6639,ARRAIL,GROUP,30000,434350
6655,HUAXIN,CEMENT,36800,317389
6680,JLMAG,5800,131780
6689,HONGJIU,FRUIT,90600,1970425
6690,HAIER,SMARTHOME,375000,9132600
6699,ANGELALIGN,8400,964700
6808,SUNART,RETAIL,471500,1434365
6818,CEB,BANK,187000,448430
6821,ASYMCHEM,7800,784260
6823,HKT-SS,55000,588440
6830,HUAZHONG,IN-V,140000,338160
6837,HAITONG,SEC,224800,1137316
6855,ASCENTAGE-B,29200,730245
6862,HAIDILAO,2541000,49980040
6865,FLAT,GLASS,123000,2602550
6869,YOFC,182000,3002540
6878,DIFFER,GP,AUTO,172000,26654
6881,CGS,1530500,6240490
6886,HTSC,73800,693072
6969,SMOORE,INTL,2173000,20157250
6978,IMMUNOTECH-B,6000,26480
6988,JOY,SPREADER,160000,167580
6993,BLUE,MOON,GROUP,42000,205710
6996,ANTENGENE-B,135000,417325
7200,FL2,CSOP,HSI,35436700,157516066
7226,XL2CSOPHSTECH,33660700,177858530
7248,XL2,CSOP,A50,8000,29414
7288,FL2,CSOP,HSCEI,3700,9406
7333,XICSOPCSI300,2700,19097
7345,FI,CSOP,OIL,67100,272064
7500,FI2,CSOP,HSI,4000100,20068693
7552,XI2CSOPHSTECH,4116500,26645355
7568,FI2CSOPNASDAQ,188900,2478247
7588,FI2,CSOP,HSCEI,46600,226552
ETF,9010,ISHARES,AXJ-U,400,2582
ETF,9115,ISHARESHSI-U,800,7336
9618,JD-SW,800250,117267375
9626,BILIBILI-W,459560,75219736
9633,NONGFU,SPRING,1127200,48034260
9658,SUPER,HI,107000,1906080
9666,JINKE,SERVICES,800,9914
9668,CBHB,67000,92870
9688,ZAI,LAB,180800,5242155
9696,TIANQI,LITHIUM,411600,21988260
9698,GDS-SW,1288300,20895404
ETF,9806,GX,CN,CONSUME-U,200,1329
ETF,9845,GX,CN,EV,BATT-U,9500,129155
9858,YOURAN,DAIRY,145000,321690
9866,NIO-SW,136810,9654732
9868,XPENG-W,1064000,41563710
9869,HELENS,106500,1279070
9878,HUITONGDA,NET,400,11660
9886,DINGDANG,HEALTH,25000,81185
9888,BIDU-SW,422000,56332490
9898,WB-SW,1400,196112
9899,CLOUD,MUSIC,2400,160810
9901,NEW,ORIENTAL-S,58200,1642820
9909,POWERLONG,CM,40500,225205
9922,JIUMAOJIU,390000,6849920
9923,YEAHKA,10400,229880
9926,AKESO,231000,10608150
9939,KINTOR,PHARMA-B,19000,113950
9955,CLOUDR,201000,2212702
9959,LINKLOGIS-W,175000,573165
9961,TRIP.COM-S,258000,72282300
9966,ALPHAMAB-B,1178000,19803080
9969,INNOCARE-B,646000,6391240
9979,GREENTOWN,MGMT,80000,624150
9987,YUM,CHINA,21300,10616495
9988,BABA-SW,6153400,570645585
9990,ARCHOSAUR,GAMES,309000,1947770
9991,BAOZUN-W,11500,150312
9992,POP,MART,334400,6420560
9995,REMEGEN-B,598500,30259100
9996,PEIJIA-B,57000,591280
9997,KANGJI,MEDICAL,9000,93310
9999,NTES-S,579300,80025460
